document,topic,gamma
A_Midsummer_Nights_Dream_1.txt,3,0.9965744142812174
A_Modest_Proposal_1.txt,4,0.5302965084797329
A_Study_In_Scarlet_1.txt,9,0.6649465482997885
A_Tale_of_Two_Cities_1.txt,7,0.9943089515967454
Adventures_of_Huckleberry_Finn.txt,9,0.9898214229450131
Alices_Adventures_in_Wonderland.txt,9,0.9999619769516986
Around_the_World_in_Eighty_Days.txt,2,0.9999883951573812
COMMON_SENSE_1.txt,3,0.6743206466753868
Deuterocanonical_Books_of_the_Bible_1.txt,5,0.9999937426734956
Dracula_1.txt,3,0.7923258037386236
Emma_1.txt,10,0.9995761324133953
Frankenstein_1.txt,4,0.8220909655938163
Great_Expectations.txt,7,0.9999947637298214
Hamlet_1.txt,3,0.9293066078811483
Heart_of_Darkness_1.txt,8,0.5066443989148816
JANE_EYRE_1.txt,4,0.5473322981489052
MARIA_1.txt,4,0.9999833755965545
Middlemarch.txt,10,0.9993795776154453
Moby_Dick.txt,8,0.9999966221844128
Narrative_of_the_Life_of_Frederick_Douglass_1.txt,8,0.6390310233204229
Persuasion_1.txt,10,0.9703782242413339
Phil_the_Fiddler_1.txt,9,0.9148053174923273
Pride_And_Prejudice.txt,4,0.8886658240489125
SARTOR_RESARTUS_1.txt,3,0.9993444658088972
Sense_and_Sensibility_1.txt,4,0.9895058364861777
THE_HUNTING_OF_THE_SNARK_1.txt,8,0.49576510456247147
THE_SECRET_ADVERSARY_1.txt,7,0.9848062946054215
THE_SECRET_GARDEN_1.txt,9,0.5114988806508189
THE_WRONG_BOX_1.txt,9,0.8402615659227765
THROUGH_THE_LOOKING-GLASS.txt,9,0.9990717115612043
Thankfuls_Inheritance_1.txt,9,0.9999915458260018
The_1990_CIA_World_Factbook_1.txt,6,0.9999983412720053
The_Adventures_of_Gerard_1.txt,3,0.7820622213338567
The_Adventures_of_Sherlock_Holmes_1.txt,9,0.8248213983307605
The_First_Book_of_Moses_Called_Genesis.txt,1,0.9190406335527352
The_Four_Million_1.txt,9,0.943078004308985
The_Hound_of_the_Baskervilles_1.txt,9,0.8451121735563866
The_Jungle.txt,8,0.7804622941303991
The_Number_e_Natural_Log_To_Approximately_1_Million_Places_1.txt,3,0.6889932453110351
The_Prince_1.txt,3,0.9534223119135974
The_Strange_Case_Of_Dr_Jekyll_And_Mr_Hyde_1.txt,9,0.5486073484536239
The_Tenniel_Illustrations_for_Carrolls_Alice_in_Wonderland_1.txt,9,0.9983428859931327
The_Three_Musketeers_1.txt,4,0.9991139758743016
The_Turn_Of_The_Screw.txt,7,0.9178571407278345
The_Wheels_of_Change.txt,7,0.9980204873575684
The_Yellow_Wallpaper_1.txt,9,0.9062175181658766
