topic,term,beta
1,lord,0.03521084818942484
1,god,0.01959076963286891
1,son,0.01495520548967308
1,king,0.011908724299624519
1,israel,0.011379216810251702
1,day,0.011147849871648742
1,house,0.009049623348145503
1,people,0.008990209346715277
1,child,0.008758858199414205
1,hand,0.008367449456444352
2,fogg,0.02621060035684317
2,passepartout,0.017203242339476014
2,philea,0.01038686329930627
2,day,0.007103128224879142
2,leave,0.006498716355695851
2,hour,0.006416807954939805
2,time,0.006350582727511944
2,train,0.00619812634856303
2,aouda,0.005518021127756459
2,master,0.0054831178124960505
3,time,0.007321127336120983
3,hand,0.004484237390549414
3,love,0.004082578397668892
3,day,0.004062830887673604
3,night,0.00395377453186603
3,hamlet,0.003938200496554143
3,life,0.0037343180720289704
3,friend,0.0034570383858369934
3,leave,0.0031610557699131778
3,hear,0.0031488271102910635
4,artagnan,0.00837161382681838
4,time,0.006248752236902774
4,day,0.004914509226056957
4,leave,0.004857045486230775
4,friend,0.0044668313506645895
4,atho,0.004383615279224832
4,hear,0.004239363413571902
4,woman,0.003975670802484541
4,reply,0.0038351068515818576
4,love,0.003693696647020465
5,lord,0.01918466687959418
5,king,0.014634249096836185
5,son,0.011778224049473254
5,god,0.011101853501595114
5,people,0.009316791604423827
5,day,0.009254771198907968
5,time,0.006570709717379018
5,city,0.006359119759008546
5,child,0.006146895120698397
5,bring,0.0057424420540676535
6,rate,0.015826707897063162
6,total,0.009196220967105432
6,party,0.008180135792964843
6,land,0.006934565450360812
6,population,0.006756151723694587
6,force,0.006441244631670299
6,include,0.006084403095757233
6,government,0.005537408566488875
6,birth,0.005497941843158804
6,branch,0.005203697062550125
7,hand,0.008077965002496315
7,time,0.007269494984146446
7,day,0.005324678827517131
7,head,0.00450372721242228
7,leave,0.004340458411008669
7,night,0.004340102631409517
7,sir,0.004227442657244013
7,joe,0.004215290557299756
7,eyes,0.003983670052434255
7,hear,0.0037167928489104146
8,whale,0.011733031676117054
8,jurgis,0.008634344344469358
8,time,0.006928628092480696
8,ship,0.00525753552349285
8,day,0.004882122663714449
8,head,0.0048200068910708264
8,sea,0.0045414841739320035
8,hand,0.004523482580621439
8,ahab,0.004042678875427621
8,white,0.003184108346378665
9,time,0.00808494962772378
9,hand,0.00607489949484287
9,hear,0.005247026356625299
9,day,0.005022746891323663
9,house,0.0049253403073547045
9,door,0.004900919224599332
9,alice,0.004414210126458352
9,night,0.004347165220184582
9,leave,0.00401914279252621
9,head,0.0037803907028597333
10,mary,0.006999470633611144
10,time,0.00585385035018402
10,lydgate,0.005753335728874276
10,dorothea,0.005461665627311068
10,emma,0.00496411074817383
10,hear,0.00441986350776726
10,day,0.004328774003531576
10,feel,0.004125504529087202
10,mind,0.003945187508045757
10,casaubon,0.0037688352339246
